Date,Open,High,Low,Close,Volume,Adj Close
2003-08-01,99.19,99.53,98.24,98.51,49321000,78.29
2003-07-31,99.98,100.91,99.17,99.39,54937200,78.99
2003-07-30,99.60,99.75,98.93,99.16,28363300,78.81
2003-07-29,100.14,100.26,98.68,99.40,53472100,79.00
2003-07-28,100.37,100.98,99.67,99.86,34382800,79.36
2003-07-25,98.66,100.29,98.04,100.23,43241100,79.66
2003-07-24,99.99,100.34,98.37,98.49,40896200,78.27
2003-07-23,99.21,99.45,98.28,99.24,37275400,78.87
2003-07-22,98.69,99.41,97.92,99.17,49968300,78.81
2003-07-21,99.45,99.49,97.85,98.28,34786000,78.11
2003-07-18,99.02,99.80,98.46,99.51,35698100,79.08
